record_id,tool_name,vendor,product,version,control_domain,control_objective,current_control_id,current_control_name,framework_alignment,deployment_scope,environment,coverage_level,effectiveness_score,operational_status,annual_cost_usd,utilization_percent,license_count,eol_date,notes
TM-0016,Enterprise Security,Splunk,Enterprise Security,Latest,SOC,Centralized security monitoring and detection,DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,Regional,Cloud,Covered,77.3,Active,387289,63,6287,,
TM-0017,QRadar SIEM,IBM,QRadar SIEM,v1,SOC,Centralized security monitoring and detection,DE.CM,Security Continuous Monitoring,CIS-v8.1,Enterprise-wide,Hybrid,Partial,35.5,Under Review,146837,39,901,,
TM-0018,Sentinel,Microsoft,Sentinel,v3,SOC,Centralized security monitoring and detection,DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,Regional,Cloud,Partial,48.5,Active,397557,70,11880,,
TM-0019,Cortex XSOAR,Palo Alto,Cortex XSOAR,Latest,SOC,Automated incident orchestration and response,RS.RP,Incident Response,CIS-v8.1,Regional,Production,Covered,62.2,Active,263569,80,16873,,
TM-0020,SOAR Platform,Swimlane,SOAR Platform,v1,SOC,Automated incident orchestration and response,RS.RP,Incident Response,NIST-CSF-2.0,HQ + Branches,Cloud,Partial,41.9,Active,283377,43,4685,,
TM-0021,Purview DLP,Microsoft,Purview DLP,Latest,Data,Data classification and loss prevention,PR.DS,Data Security,NIST-CSF-2.0,Enterprise-wide,On-Prem,Partial,88.9,Active,292166,69,487,,
TM-0022,DLP,Symantec,DLP,v1,Data,Data classification and loss prevention,PR.DS,Data Security,NIST-CSF-2.0,Regional,On-Prem,Partial,48.5,Active,135479,58,24634,,
TM-0023,DAM + Data Security Fabric,Imperva,DAM + Data Security Fabric,v3,Data,Database and structured data protection,PR.DS,Data Security,CIS-v8.1,BU-specific,On-Prem,Partial,81,Under Review,294734,65,4844,,
TM-0024,Advanced WAF,F5,Advanced WAF,v2,Data,Web and API application protection,PR.DS,Application Security,NIST-CSF-2.0,Enterprise-wide,Cloud,Covered,71.8,Active,345118,44,24024,,
TM-0025,WAF + API Shield,Cloudflare,WAF + API Shield,v1,Data,Web and API application protection,PR.DS,Application Security,NIST-CSF-2.0,Enterprise-wide,Production,Partial,49.8,Active,355035,50,14911,,
TM-0026,CNAPP,Wiz,CNAPP,v1,Cloud,Cloud security posture and workload security,CIS-4,Secure Configuration,CIS-v8.1,BU-specific,Cloud,Covered,80.1,Active,261902,77,7583,,
TM-0027,Prisma Cloud,Prisma,Prisma Cloud,v3,Cloud,Cloud security posture and workload security,CIS-4,Secure Configuration,NIST-CSF-2.0,Enterprise-wide,On-Prem,Partial,70.5,Active,305591,66,3415,,
TM-0028,Cloud Security Platform,Orca,Cloud Security Platform,v3,Cloud,Cloud security posture and workload security,CIS-4,Secure Configuration,NIST-CSF-2.0,Regional,Cloud,Covered,62.6,Active,233175,96,20200,,
TM-0029,Cloud Permissions Firewall,Sonrai,Cloud Permissions Firewall,v1,Cloud,Cloud identity and entitlement governance,CIS-5,Account Management,NIST-CSF-2.0;CIS-v8.1,BU-specific,Production,Missing,43.5,Active,172967,69,6896,,
TM-0030,CNAPP + Runtime,Aqua,CNAPP + Runtime,v2,Cloud,Kubernetes and container runtime protection,PR.PS,Platform Security,NIST-CSF-2.0;CIS-v8.1,BU-specific,Hybrid,Partial,88.7,Active,217345,92,1383,,
TM-0031,Email Protection,Proofpoint,Email Protection,Latest,Email,Email threat prevention and response,CIS-9,Email and Web Browser Protections,CIS-v8.1,Enterprise-wide,Production,Covered,43.2,Planned,74551,62,17677,,
TM-0032,Email Security Cloud,Mimecast,Email Security Cloud,v1,Email,Email threat prevention and response,CIS-9,Email and Web Browser Protections,NIST-CSF-2.0,Enterprise-wide,Hybrid,Partial,87.6,Active,72919,43,7789,,
TM-0033,Defender for Office 365,Microsoft,Defender for Office 365,v1,Email,Email threat prevention and response,CIS-9,Email and Web Browser Protections,CIS-v8.1,Regional,Hybrid,Partial,57.3,Active,160840,96,18767,,
TM-0034,Email Protection,Barracuda,Email Protection,v2,Email,Email threat prevention and response,CIS-9,Email and Web Browser Protections,NIST-CSF-2.0,Regional,On-Prem,Covered,81.4,Active,167628,85,21617,,
TM-0035,PRA,BeyondTrust,PRA from BeyondTrust,v2,Identity,Identity and privileged access controls for PRA,PR.AA,Identity and Access Management,CIS-v8.1,Regional,Production,Covered,37.4,Active,133113,92,8819,,
TM-0036,EPP,McAfee,EPP from McAfee,v2,Endpoint,Endpoint protection and workload hardening using EPP,CIS-10,Malware Defenses,NIST-CSF-2.0,Enterprise-wide,Hybrid,Covered,52.6,Active,297145,57,12794,,
TM-0037,SIEM,QRadar,SIEM from QRadar,v3,SOC,"Monitoring, detection, and response control coverage via SIEM",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,Enterprise-wide,Cloud,Covered,95.6,Active,161003,62,18246,,
TM-0038,Threat Intelligence Platform,Anomali,Threat Intelligence Platform from Anomali,v3,SOC,"Monitoring, detection, and response control coverage via Threat Intelligence Platform",DE.CM,Security Continuous Monitoring,CIS-v8.1,Enterprise-wide,On-Prem,Missing,47,Active,254712,67,20185,,
TM-0039,Digital Risk Protection,CTM360,Digital Risk Protection from CTM360,v2,SOC,"Monitoring, detection, and response control coverage via Digital Risk Protection",DE.CM,Security Continuous Monitoring,CIS-v8.1,HQ + Branches,Production,Missing,93,Active,319728,42,22513,,
TM-0040,DAM,Imperva,DAM from Imperva,v3,Data,Data security and application protection with DAM,PR.DS,Data Security,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,Cloud,Covered,53.6,Active,230997,94,16971,,
TM-0041,EPP,Carbon Black,EPP from Carbon Black,v2,Endpoint,Endpoint protection and workload hardening using EPP,CIS-10,Malware Defenses,NIST-CSF-2.0;CIS-v8.1,BU-specific,On-Prem,Partial,35,Active,214032,71,16409,,
TM-0042,Sandboxing,OPSWAT,Sandboxing from OPSWAT,Latest,SOC,"Monitoring, detection, and response control coverage via Sandboxing",DE.CM,Security Continuous Monitoring,CIS-v8.1,HQ + Branches,Hybrid,Partial,85,Planned,340484,76,7180,,
TM-0043,Cybersecurity awareness training,OutThink,Cybersecurity awareness training from OutThink,v3,SOC,"Monitoring, detection, and response control coverage via Cybersecurity awareness training",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,Regional,Cloud,Covered,47.5,Active,200024,64,21261,,
TM-0044,Email security,Proofpoint,Email security from Proofpoint,v1,Email,Email threat prevention and response via Email security,CIS-9,Email and Web Browser Protections,CIS-v8.1,HQ + Branches,Hybrid,Partial,59.2,Active,72856,78,22329,,
TM-0045,Vulnerability Management,Tenable,Vulnerability Management from Tenable,v1,Data,Data security and application protection with Vulnerability Management,PR.DS,Data Security,CIS-v8.1,Regional,Hybrid,Partial,78.8,Active,267155,92,3139,,
TM-0046,GRC,Archer,GRC from Archer,v2,Data,Data security and application protection with GRC,PR.DS,Data Security,CIS-v8.1,BU-specific,On-Prem,Partial,80.3,Active,339270,69,22442,,
TM-0047,NDR,Darktrace,NDR from Darktrace,Latest,SOC,"Monitoring, detection, and response control coverage via NDR",DE.CM,Security Continuous Monitoring,CIS-v8.1,BU-specific,Hybrid,Partial,52.5,Under Review,268594,50,11064,,
TM-0048,Web and API Protection,Invicti,Web and API Protection from Invicti,v3,Data,Data security and application protection with Web and API Protection,PR.DS,Data Security,NIST-CSF-2.0,BU-specific,Cloud,Covered,69,Active,181053,78,17695,,
TM-0049,IPS,Trend Micro TippingPoint,IPS from Trend Micro TippingPoint,v1,Network,Network boundary and segmentation controls enabled by IPS,CIS-12,Network Infrastructure Management,CIS-v8.1,HQ + Branches,Cloud,Partial,61.2,Active,298268,92,14651,,
TM-0050,Deep Security,Trend Micro,Deep Security from Trend Micro,v1,Endpoint,Endpoint protection and workload hardening using Deep Security,CIS-10,Malware Defenses,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,On-Prem,Covered,57.2,Under Review,316534,95,10545,,
TM-0051,Sandbox,Trend Micro,Sandbox from Trend Micro,v2,SOC,"Monitoring, detection, and response control coverage via Sandbox",DE.CM,Security Continuous Monitoring,CIS-v8.1,Regional,Cloud,Covered,36.8,Active,324234,60,4226,,
TM-0052,Data classification,Boldon James,Data classification from Boldon James,Latest,Data,Data security and application protection with Data classification,PR.DS,Data Security,NIST-CSF-2.0,Enterprise-wide,On-Prem,Partial,76.8,Active,233153,89,4641,,
TM-0053,PAM,Arcon,PAM from Arcon,v3,Identity,Identity and privileged access controls for PAM,PR.AA,Identity and Access Management,CIS-v8.1,BU-specific,Hybrid,Partial,56.3,Under Review,149125,94,10608,,
TM-0054,Algosec,Unknown Vendor,Algosec,v1,SOC,"Monitoring, detection, and response control coverage via Algosec",DE.CM,Security Continuous Monitoring,CIS-v8.1,Enterprise-wide,Production,Missing,57,Active,353432,76,18885,,
TM-0055,SASE,Palo Alto,SASE from Palo Alto,v2,Network,Network boundary and segmentation controls enabled by SASE,CIS-12,Network Infrastructure Management,NIST-CSF-2.0,Enterprise-wide,Hybrid,Covered,64.8,Active,478185,64,6495,,
TM-0056,Password Policy Enforcer,Netwrix,Password Policy Enforcer from Netwrix,v3,Identity,Identity and privileged access controls for Password Policy Enforcer,PR.AA,Identity and Access Management,NIST-CSF-2.0,Enterprise-wide,Hybrid,Missing,41.8,Active,155983,77,23959,,
TM-0057,Endpoint issue management,Nexthink,Endpoint issue management from Nexthink,Latest,Endpoint,Endpoint protection and workload hardening using Endpoint issue management,CIS-10,Malware Defenses,NIST-CSF-2.0;CIS-v8.1,Regional,Production,Partial,87.3,Active,278720,53,17144,,
TM-0058,Device and App Control,DriveLock,Device and App Control from DriveLock,v1,SOC,"Monitoring, detection, and response control coverage via Device and App Control",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Cloud,Partial,76.7,Active,315197,35,10571,,
TM-0059,File security,Reversing Labs,File security from Reversing Labs,Latest,Data,Data security and application protection with File security,PR.DS,Data Security,NIST-CSF-2.0,HQ + Branches,Cloud,Partial,87.2,Under Review,234968,81,24140,,
TM-0060,Firewalls,Check Point,Firewalls from Check Point and Palo Alto,v3,Network,Network boundary and segmentation controls enabled by Firewalls,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,On-Prem,Covered,81.1,Active,445434,87,2276,,
TM-0061,Firewalls,Palo Alto,Firewalls from Check Point and Palo Alto,Latest,Network,Network boundary and segmentation controls enabled by Firewalls,CIS-12,Network Infrastructure Management,NIST-CSF-2.0,HQ + Branches,On-Prem,Covered,66.1,Active,321254,57,6547,,
TM-0062,NPM,SolarWinds,NPM from SolarWinds,v3,Network,Network boundary and segmentation controls enabled by NPM,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,BU-specific,Production,Partial,47,Active,293591,69,6099,,
TM-0063,Network Packet Broker,Gigamon,Network Packet Broker from Gigamon,Latest,Network,Network boundary and segmentation controls enabled by Network Packet Broker,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,On-Prem,Partial,40.9,Active,390899,54,14589,,
TM-0064,Patch Management,Qualys,Patch Management from Qualys,Latest,Endpoint,Endpoint protection and workload hardening using Patch Management,CIS-10,Malware Defenses,NIST-CSF-2.0;CIS-v8.1,BU-specific,On-Prem,Missing,69.7,Active,219806,54,5855,,
TM-0065,MFT,GoAnywhere,MFT from GoAnywhere,v2,Data,Data security and application protection with MFT,PR.DS,Data Security,CIS-v8.1,Enterprise-wide,Hybrid,Covered,81.5,Active,275650,82,14968,,
TM-0066,WAF,Barracuda,WAF from Barracuda,v1,Data,Data security and application protection with WAF,PR.DS,Data Security,NIST-CSF-2.0,BU-specific,Hybrid,Covered,54,Under Review,153417,37,1476,,
TM-0067,API Security,Symantec,API Security from Symantec,v3,Data,Data security and application protection with API Security,PR.DS,Data Security,NIST-CSF-2.0;CIS-v8.1,Regional,On-Prem,Covered,35.8,Active,246380,56,24141,,
TM-0068,Data Classification,Fortra,Data Classification from Fortra,v3,Data,Data security and application protection with Data Classification,PR.DS,Data Security,CIS-v8.1,Enterprise-wide,Production,Covered,39.7,Active,134152,44,14123,,
TM-0069,PGP,Symantec,PGP from Symantec,v3,SOC,"Monitoring, detection, and response control coverage via PGP",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,Regional,Production,Partial,61.2,Active,306867,83,9583,,
TM-0070,Email Gateway,OPSWAT,Email Gateway from OPSWAT,Latest,Email,Email threat prevention and response via Email Gateway,CIS-9,Email and Web Browser Protections,CIS-v8.1,HQ + Branches,Cloud,Partial,38.8,Planned,67007,83,15682,,
TM-0071,Firewalls,Check Point,Firewalls from Check Point,v3,Network,Network boundary and segmentation controls enabled by Firewalls,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Hybrid,Covered,69.8,Active,294304,78,11811,,
TM-0072,DLP,Forcepoint,DLP from Forcepoint,v1,SOC,"Monitoring, detection, and response control coverage via DLP",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,BU-specific,Cloud,Partial,63.6,Active,394238,84,15671,,
TM-0073,EPM and PRA,BeyondTrust,EPM and PRA from BeyondTrust,v2,Identity,Identity and privileged access controls for EPM and PRA,PR.AA,Identity and Access Management,CIS-v8.1,Enterprise-wide,Hybrid,Partial,92.2,Under Review,107031,45,7773,,
TM-0074,EPP,ESET,EPP from ESET,v3,Endpoint,Endpoint protection and workload hardening using EPP,CIS-10,Malware Defenses,CIS-v8.1,Enterprise-wide,On-Prem,Partial,79.1,Planned,231114,66,2121,,
TM-0075,DAM and DSF,Imperva,DAM and DSF from Imperva,v1,Data,Data security and application protection with DAM and DSF,PR.DS,Data Security,CIS-v8.1,BU-specific,Cloud,Covered,49.4,Active,347176,71,636,,
TM-0076,CLM,Keyfactor,CLM from Keyfactor,v3,SOC,"Monitoring, detection, and response control coverage via CLM",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Hybrid,Partial,76,Planned,181905,71,15913,,
TM-0077,DNS Security,Cloudflare,DNS Security from Cloudflare,Latest,SOC,"Monitoring, detection, and response control coverage via DNS Security",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,HQ + Branches,Cloud,Covered,55.2,Active,175995,60,12447,,
TM-0078,DevSecOps,Checkmarx,DevSecOps from Checkmarx,Latest,SOC,"Monitoring, detection, and response control coverage via DevSecOps",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,On-Prem,Covered,50.9,Active,350948,89,20644,,
TM-0079,User Authentication and Authorization,RSA,User Authentication and Authorization from RSA,v1,SOC,"Monitoring, detection, and response control coverage via User Authentication and Authorization",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,On-Prem,Covered,67.7,Active,272569,62,1404,,
TM-0080,EPP,Ivanti,EPP from Ivanti,v3,Endpoint,Endpoint protection and workload hardening using EPP,CIS-10,Malware Defenses,NIST-CSF-2.0;CIS-v8.1,Regional,Cloud,Covered,79,Active,345501,73,6073,,
TM-0081,PAM,BeyondTrust,PAM from BeyondTrust,v2,Identity,Identity and privileged access controls for PAM,PR.AA,Identity and Access Management,CIS-v8.1,Enterprise-wide,On-Prem,Covered,97.5,Planned,186404,42,20823,,
TM-0082,Application Security,Burp Suite,Application Security from Burp Suite,Latest,SOC,"Monitoring, detection, and response control coverage via Application Security",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,BU-specific,Cloud,Covered,65.4,Active,260640,44,4862,,
TM-0083,MDM,MobileIron,MDM from MobileIron,v2,SOC,"Monitoring, detection, and response control coverage via MDM",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,BU-specific,On-Prem,Covered,84.6,Active,130733,80,20956,,
TM-0084,FIM,Tripwire,FIM from Tripwire,Latest,SOC,"Monitoring, detection, and response control coverage via FIM",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,HQ + Branches,On-Prem,Covered,69.8,Active,260228,55,4813,,
TM-0085,SMS Gateway,SMSEagle,SMS Gateway from SMSEagle,v2,SOC,"Monitoring, detection, and response control coverage via SMS Gateway",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,Hybrid,Missing,60.9,Active,265271,92,9605,,
TM-0086,PAM and PRA,BeyondTrust,PAM and PRA from BeyondTrust,v2,Identity,Identity and privileged access controls for PAM and PRA,PR.AA,Identity and Access Management,CIS-v8.1,Enterprise-wide,Hybrid,Partial,72.2,Under Review,270397,62,13205,,
TM-0087,DAM,IBM,DAM from IBM,Latest,Data,Data security and application protection with DAM,PR.DS,Data Security,NIST-CSF-2.0,Regional,On-Prem,Missing,96.1,Active,326322,51,15626,,
TM-0088,Patch Management,Ivanti,Patch Management from Ivanti,Latest,Endpoint,Endpoint protection and workload hardening using Patch Management,CIS-10,Malware Defenses,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Cloud,Missing,89.1,Active,186631,80,19013,,
TM-0089,Password Policy Enforcement,Nfront,Password Policy Enforcement from Nfront,v1,Identity,Identity and privileged access controls for Password Policy Enforcement,PR.AA,Identity and Access Management,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Hybrid,Partial,93,Planned,244466,62,2569,,
TM-0090,Digital Risk Protection,Group IB,Digital Risk Protection from Group IB,v1,SOC,"Monitoring, detection, and response control coverage via Digital Risk Protection",DE.CM,Security Continuous Monitoring,CIS-v8.1,Regional,Cloud,Missing,37.9,Under Review,213903,58,3741,,
TM-0091,Network Packet Broker,Keysight,Network Packet Broker from Keysight,Latest,Network,Network boundary and segmentation controls enabled by Network Packet Broker,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,Regional,Hybrid,Covered,73.4,Active,387948,66,14628,,
TM-0092,Data Privacy,BigID,Data Privacy from BigID,v2,SOC,"Monitoring, detection, and response control coverage via Data Privacy",DE.CM,Security Continuous Monitoring,CIS-v8.1,BU-specific,On-Prem,Covered,35.6,Under Review,387745,77,4050,,
TM-0093,DLP,Digital Guardian,DLP from Digital Guardian,Latest,SOC,"Monitoring, detection, and response control coverage via DLP",DE.CM,Security Continuous Monitoring,CIS-v8.1,BU-specific,On-Prem,Partial,63.8,Active,415820,88,2773,,
TM-0094,EPP,Symantec,EPP from Symantec,Latest,Endpoint,Endpoint protection and workload hardening using EPP,CIS-10,Malware Defenses,NIST-CSF-2.0;CIS-v8.1,BU-specific,Cloud,Missing,53.6,Planned,269291,52,14200,,
TM-0095,WAF,Array Networks,WAF from Array Networks,v1,Network,Network boundary and segmentation controls enabled by WAF,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,Cloud,Partial,49.5,Under Review,229680,46,6355,,
TM-0096,GRC,Whitehats,GRC from Whitehats,v2,Data,Data security and application protection with GRC,PR.DS,Data Security,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Production,Covered,62.8,Active,313342,40,7462,,
TM-0097,DLP,McAfee,DLP from McAfee,Latest,SOC,"Monitoring, detection, and response control coverage via DLP",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,Regional,Hybrid,Partial,90.2,Active,273513,52,4213,,
TM-0098,Password Policy Enforcement,Netwrix,Password Policy Enforcement from Netwrix,Latest,Identity,Identity and privileged access controls for Password Policy Enforcement,PR.AA,Identity and Access Management,CIS-v8.1,BU-specific,Production,Partial,39.7,Under Review,138412,77,16899,,
TM-0099,SSO,Imprivata,SSO from Imprivata,Latest,SOC,"Monitoring, detection, and response control coverage via SSO",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,BU-specific,Production,Partial,35.9,Active,260068,77,16847,,
TM-0100,VPN,Pulse Secure,VPN from Pulse Secure,Latest,SOC,"Monitoring, detection, and response control coverage via VPN",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,BU-specific,Production,Partial,64.7,Active,399746,55,15298,,
TM-0101,EPP,SentinelOne,EPP from SentinelOne,v1,Endpoint,Endpoint protection and workload hardening using EPP,CIS-10,Malware Defenses,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,Cloud,Partial,42.4,Active,119005,97,3009,,
TM-0102,Firewalls,Fortinet,Firewalls from Fortinet,v2,Network,Network boundary and segmentation controls enabled by Firewalls,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,Regional,On-Prem,Partial,77.2,Under Review,477577,61,18587,,
TM-0103,FortiAnalyzer,Unknown Vendor,FortiAnalyzer,v2,SOC,"Monitoring, detection, and response control coverage via FortiAnalyzer",DE.CM,Security Continuous Monitoring,CIS-v8.1,Enterprise-wide,On-Prem,Partial,94.2,Active,327420,48,11184,,
TM-0104,Email Security,Barracuda,Email Security from Barracuda,v2,Email,Email threat prevention and response via Email Security,CIS-9,Email and Web Browser Protections,CIS-v8.1,Enterprise-wide,Cloud,Partial,96.6,Active,103174,46,3159,,
TM-0105,Firewalls,Fortinet,Firewalls from Fortinet and Palo Alto,Latest,Network,Network boundary and segmentation controls enabled by Firewalls,CIS-12,Network Infrastructure Management,NIST-CSF-2.0,Regional,Production,Covered,56,Planned,423359,47,20765,,
TM-0106,Firewalls,Palo Alto,Firewalls from Fortinet and Palo Alto,v2,Network,Network boundary and segmentation controls enabled by Firewalls,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,Regional,Hybrid,Covered,44.3,Planned,155966,89,3719,,
TM-0107,FortiSIEM and FortiSOAR,Unknown Vendor,FortiSIEM and FortiSOAR,v2,SOC,"Monitoring, detection, and response control coverage via FortiSIEM and FortiSOAR",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,BU-specific,Hybrid,Covered,89.6,Active,232457,84,14770,,
TM-0108,Deep Security and EPP,Trend Micro,Deep Security and EPP from Trend Micro,v1,Endpoint,Endpoint protection and workload hardening using Deep Security and EPP,CIS-10,Malware Defenses,NIST-CSF-2.0,BU-specific,Production,Covered,61.5,Active,125381,63,9127,,
TM-0109,EPP,Trend Micro,EPP from Trend Micro,v1,Endpoint,Endpoint protection and workload hardening using EPP,CIS-10,Malware Defenses,CIS-v8.1,Regional,Production,Partial,92.3,Active,182994,75,895,,
TM-0110,XDR,Trend Micro,XDR from Trend Micro,Latest,SOC,"Monitoring, detection, and response control coverage via XDR",DE.CM,Security Continuous Monitoring,CIS-v8.1,HQ + Branches,Production,Partial,92.3,Active,153106,73,1754,,
TM-0111,Enail Security,Proofpoint,Enail Security from Proofpoint,v3,SOC,"Monitoring, detection, and response control coverage via Enail Security",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,BU-specific,On-Prem,Missing,68.4,Active,303152,41,17580,,
TM-0112,FIM,Netwrix,FIM from Netwrix,v2,SOC,"Monitoring, detection, and response control coverage via FIM",DE.CM,Security Continuous Monitoring,CIS-v8.1,HQ + Branches,Hybrid,Covered,87.1,Active,338669,54,7895,,
TM-0113,Firewalls,Palo Alto,Firewalls from Palo Alto,v3,Network,Network boundary and segmentation controls enabled by Firewalls,CIS-12,Network Infrastructure Management,CIS-v8.1,Regional,On-Prem,Covered,87.4,Active,187928,81,20316,,
TM-0114,WAF and Email Security,Barracuda,WAF and Email Security from Barracuda,v1,Data,Data security and application protection with WAF and Email Security,PR.DS,Data Security,NIST-CSF-2.0;CIS-v8.1,BU-specific,Production,Covered,90,Planned,231655,92,1399,,
TM-0115,Web Security,Forcepoint,Web Security from Forcepoint,v3,SOC,"Monitoring, detection, and response control coverage via Web Security",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,BU-specific,Cloud,Covered,67,Active,267906,88,8830,,
TM-0116,SIEM,Elastic,SIEM from Elastic,v3,SOC,"Monitoring, detection, and response control coverage via SIEM",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,BU-specific,Hybrid,Partial,88.2,Planned,364070,73,16110,,
TM-0117,Security Scoring,Black Kite,Security Scoring from Black Kite,v1,SOC,"Monitoring, detection, and response control coverage via Security Scoring",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,BU-specific,Production,Covered,79.3,Active,227189,35,21762,,
